created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Dec 04 10:30:09 +0000 2018,1.06990166515782E+018,Bank Islam Brunei Darussalam (BIBD) has raised more than $7000 during its annual Perdana Golf Tournament which was recently held at the Royal Brunei Golf &amp  Country Club in Jerudong.  #TheBruneianNews    https://t.co/SRaGngc25d,0,0,0,0,en,8.52056791529775E+017,1.06990166515782E+018,TheBruneian,https://twitter.com/TheBruneian/status/1069901665157828609
Tue Dec 04 10:28:58 +0000 2018,1.06990136851568E+018,"Bank Islam Brunei Darussalam (BIBD) recently held a draw to find the first two quarterly and ten monthly winners for December at its BIBD NEXGEN Branch in the Mall, Gadong.  #TheBruneianNews   https://t.co/8bXkLiseNT",0,0,0,0,en,8.52056791529775E+017,1.06990136851568E+018,TheBruneian,https://twitter.com/TheBruneian/status/1069901368515686400
Sun Nov 18 13:59:32 +0000 2018,1.06415615118336E+018,"I understand about their law in Brunei Darussalam, it's about attribute &amp  symbol for them it's sensitive issue.   Malaysia &amp  Indonesia still tolerance for other religion outside Islam about attribute &amp  symbol.",0,1,0,1,en,1540661450,1.06415615118336E+018,amiryogi,https://twitter.com/amiryogi/status/1064156151183364097
Sun Nov 04 14:01:54 +0000 2018,1.05908331889588E+018,"Pantai Jerudong Specialist Centre (PJSC) hosted a roadshow on Sunday with the joint involvement of its main event partners, Bank Islam Brunei Darussalam (BIBD) and the Jerudong Park Country Club (JPCC). It was held in conjunction with the Breast Cancer Awareness Month. https://t.co/Ai9YlzmOHV",0,0,0,2,en,9.96558062314901E+017,1.05908331889588E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1059083318895886336
Wed Oct 31 10:00:31 +0000 2018,1.05757302056535E+018,Bank Islam Brunei Darussalam (BIBD) recently launched a learning centre  aimed to prepare its Advocating Life-long Learning for an Aspiring  Future (ALAF) students against challenges in the digital age.  #TheBruneianNews  https://t.co/K0R94VNjfH,0,0,0,1,en,8.52056791529775E+017,1.05757302056535E+018,TheBruneian,https://twitter.com/TheBruneian/status/1057573020565352449
Sat Sep 29 06:32:55 +0000 2018,1.04592436420862E+018,BIBD Hosts ALAF Teachers Appreciation Night  More than 50 HEP teachers involved in Bank Islam Brunei Darussalamâ€™s https://t.co/fZ2gJhth9F,0,0,0,0,en,27822553,1.04592436420862E+018,anakbrunei,https://twitter.com/anakbrunei/status/1045924364208627712
Fri Sep 28 09:56:56 +0000 2018,1.04561331977039E+018,Bank Islam Brunei Darussalam yesterday visited Sekolah Rendah Merangking in Ulu Belait to get updated with the educational progress and living conditions of its ALAF students there. #TheBruneianNews https://t.co/U74k4Ls4ms https://t.co/7MVw6BM3tS,0,0,0,1,en,8.52056791529775E+017,1.04561331977039E+018,TheBruneian,https://twitter.com/TheBruneian/status/1045613319770398720
Fri Sep 21 04:35:05 +0000 2018,1.04299560583904E+018,Havenâ€™t posted #fatfriday in awhile! This is how TGM does it ðŸ’ªðŸ¼ #tgmlovestocelebrate #idamakan @ Bank Islam Brunei Darussalam https://t.co/tX78CxexL1,0,0,0,0,en,4399632560,1.04299560583904E+018,idabites,https://twitter.com/idabites/status/1042995605839040517
Mon Sep 17 06:54:06 +0000 2018,1.04158104037501E+018,His Majesty the Sultan and Yang DiPertuan of Brunei Darussalam has allocated a site in Temburong for the construction of a permanent campus for Universiti Islam Sultan Sharif Ali. #TheBruneianNews https://t.co/nz6F8FjVFi https://t.co/RB2yUczd5X,0,0,1,1,en,8.52056791529775E+017,1.04158104037501E+018,TheBruneian,https://twitter.com/TheBruneian/status/1041581040375017473
Mon Aug 27 14:27:02 +0000 2018,1.03408488219075E+018,THE Indian High Commissioner to Brunei Darussalam Nagma M Mallick yesterday presented 38 pieces of Islamic calligraphy in a ceremony held at University Islam Sultan Sharif Ali (UNISSA). #brunei #donation https://t.co/fXEXlatu3A,0,0,1,1,en,9.96558062314901E+017,1.03408488219075E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1034084882190753793
Thu Jul 26 22:19:56 +0000 2018,1.02260747746721E+018,Bank Islam Brunei Darussalam (BIBD) handed over a Musafirâ€™s guide for Haj pilgrimage to the Ministry of Religious Affairs (MoRA) on Wednesday. More details in https://t.co/iyRWRdz3uSâ€¦ https://t.co/PYOyfS7nig,0,0,0,0,en,9.96558062314901E+017,1.02260747746721E+018,borneo_bulletin,https://twitter.com/borneo_bulletin/status/1022607477467217921
Thu May 31 02:06:27 +0000 2018,1.00200837473984E+018,"Bank Islam Brunei Darussalam (BIBD) has launched its BIBD MSME Account designed to accommodate the needs of micro, small and medium enterprises (MSME) in Brunei. Read more in Top News segment on our news app. #TheBruneianNews https://t.co/IXA2wCXIq9",0,0,0,1,en,8.52056791529775E+017,1.00200837473984E+018,TheBruneian,https://twitter.com/TheBruneian/status/1002008374739849218
Tue May 29 01:14:55 +0000 2018,1.00127062801448E+018,"I'm at Bank Islam Brunei Darussalam (BIBD) in Bandar Seri Begawan, Brunei-Muara https://t.co/bUeIb5l6TB",0,0,0,0,in,67992837,1.00127062801448E+018,Enzoeholic,https://twitter.com/Enzoeholic/status/1001270628014489600
Wed May 16 16:41:07 +0000 2018,9.9679267234075E+017,"Bank Islam Brunei Darussalam: Bank Islam Brunei Darussalam (BIBD) is the largest Islamic Bank in Brunei Darussalam, . https://t.co/uRRSlEu1ef",0,0,0,0,in,100501719,9.9679267234075E+017,OnlineBrunei,https://twitter.com/OnlineBrunei/status/996792672340750337
Tue May 15 00:34:10 +0000 2018,9.96186944177455E+017,"Brunei's largest lender, Bank Islam Brunei Darussalam, aims to raise as much as US$500mil (RM2.13bil) in an IPO - the first by a firm from the Southeast Asian nation although the bank will be listed on the Malaysian bourse, IFR reported. Read more at https://t.co/ktlFmL4NwF",0,0,2,3,en,9.73198005636493E+017,9.96186944177455E+017,HajiMat5,https://twitter.com/HajiMat5/status/996186944177455104
Sat Apr 28 16:41:06 +0000 2018,9.90269687215734E+017,"Bank Islam Brunei Darussalam: Bank Islam Brunei Darussalam (BIBD) is the largest Islamic Bank in Brunei Darussalam, . https://t.co/uRRSlEu1ef",0,0,0,1,in,100501719,9.90269687215734E+017,OnlineBrunei,https://twitter.com/OnlineBrunei/status/990269687215734784
