created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sat Apr 06 05:47:30 +0000 2019,1.11440424348025E+018,".. Sultan Haji Hassanal Bolkiah, pemimpin Brunei Darussalam dikecam banyak pihak setelah memutuskan untuk merealisasikan sejumlah hukuman yang didasarkan pada syariat Islam di negaranya. Baru memutuskan dan belum ada satu pun yang dijatuhi hukuman tsb, https://t.co/kfGV14kv37",0,0,0,0,in,453717251,1.11440424348025E+018,ardianKobe,https://twitter.com/ardianKobe/status/1114404243480252417
Sat Apr 06 01:04:56 +0000 2019,1.11433313274704E+018,". Sultan Haji Hassanal Bolkiah, pemimpin Brunei Darussalam dikecam banyak pihak setelah memutuskan untuk merealisasikan sejumlah hukuman yang didasarkan pada syariat Islam di negaranya.â€¦ https://t.co/8vaBTWJLP4",0,0,0,0,in,1.09646602228494E+018,1.11433313274704E+018,masaid17_,https://twitter.com/masaid17_/status/1114333132747046912
Sat Apr 06 00:02:49 +0000 2019,1.11431750107947E+018,"Sultan Haji Hassanal Bolkiah, pemimpin Brunei Darussalam dikecam banyak pihak setelah memutuskan untuk merealisasikan sejumlah hukuman yang didasarkan pada syariat Islam di negaranya.â€¦ https://t.co/5uuCNJD5xC",0,0,0,0,in,153294825,1.11431750107947E+018,fitriyaninahmad,https://twitter.com/fitriyaninahmad/status/1114317501079478274
Fri Apr 05 22:41:10 +0000 2019,1.11429695166142E+018,Pagi2 kepo sama artikel cordova media ðŸ˜ MANTUL sultan hassanal bolkiah memutuskan dan merealisasikan sejumlah hukuman yg didasarkan pd syariat islam di Brunei Darussalam ðŸ‘,0,0,0,1,in,82019235,1.11429695166142E+018,astipratiwi,https://twitter.com/astipratiwi/status/1114296951661424641
Fri Apr 05 14:11:51 +0000 2019,1.1141687785087E+018,"Bismillah #Repost @cordova.media ãƒ»ãƒ»ãƒ» Sultan Haji Hassanal Bolkiah, pemimpin Brunei Darussalam dikecam banyak pihak setelah memutuskan untuk merealisasikan sejumlah hukuman yang didasarkan pada syariat Islam di... https://t.co/ecPcM3p1xH",0,0,0,0,in,1348278870,1.1141687785087E+018,annabawi_media,https://twitter.com/annabawi_media/status/1114168778508701696
Fri Apr 05 13:28:20 +0000 2019,1.11415782576729E+018,"Sultan Haji Hassanal Bolkiah, pemimpin Brunei Darussalam dikecam banyak pihak setelah memutuskan untuk merealisasikan sejumlah hukuman yang didasarkan pada syariat Islam di negaranya. Baru memutuskan dan belum... https://t.co/hHugDzwUDO",0,0,0,0,in,832332396,1.11415782576729E+018,TriSulasianaB,https://twitter.com/TriSulasianaB/status/1114157825767292935
Fri Apr 05 07:35:33 +0000 2019,1.1140690452868E+018,PBB Protes Penerapan Syariat Islam di Brunei Darussalam https://t.co/hwzcXqiF4L https://t.co/Laew9cglv3,0,0,0,0,in,2411885898,1.1140690452868E+018,DakwahTangerang,https://twitter.com/DakwahTangerang/status/1114069045286801409
Fri Apr 05 06:51:43 +0000 2019,1.11405801365915E+018,"Sederet selebriti Hollywood bereaksi keras atas keputusan Sultan Brunei Darussalam yang tegas menerapkan hukum syariat Islam bagi para lesbian dan gay. . Tonton video lengkapnya, klik link di bawah ini! . https://t.co/nOLhdJWYaj",0,0,0,1,in,31355801,1.11405801365915E+018,KapanLagicom,https://twitter.com/KapanLagicom/status/1114058013659156480
Fri Apr 05 01:57:26 +0000 2019,1.11398395673363E+018,PBB Protes Penerapan Syariat Islam di Brunei Darussalam | BACA : https://t.co/hmo9LcxDyM https://t.co/6HbBhy6PqH,0,0,0,0,in,1327166587,1.11398395673363E+018,visimuslim_,https://twitter.com/visimuslim_/status/1113983956733636618
Fri Apr 05 00:58:46 +0000 2019,1.11396919005719E+018,PBB Protes Penerapan Syariat Islam di Brunei Darussalam | Read More : https://t.co/C0BF8BLYvM https://t.co/F9FogOPDNn,0,0,0,0,in,42180240,1.11396919005719E+018,abufauzan1924,https://twitter.com/abufauzan1924/status/1113969190057197568
