created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Fri Apr 05 23:39:47 +0000 2019,1.11431170170753E+018,"Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… Ø§Ù„Ù…Ù„Ù‚Ø¨  Ø¨Ù€  Ø§Ù„Ù…Ù‡ØªØ¯ÙŠ Ø¨Ø§Ù„Ù„Ù‡ / Ø£ÙŠØ¯Ù‡Ù Ø§Ù„Ù„Ù‡ ÙˆÙ†ØµØ±Ù‡  ÙŠØ·Ø¨Ù‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆÙ‚Ø¯ Ø§Ø¹Ù„Ù† Ù…Ø¤Ø®Ø±Ø§ ØªØ·Ø¨ÙŠÙ‚Ù‡ Ø­Ø¯ Ø§Ù„Ø±Ø¬Ù…  Ø¹Ù„Ù‰ Ø§Ù„Ø±Ø¬Ø§Ù„ Ø§Ù„Ø´ÙˆØ§Ø°  ÙˆØ«Ø§Ø± Ø¹Ù„ÙŠÙ‡ Ø§Ù„ØºØ±Ø¨ ÙˆÙ‡Ø¯Ø¯ØªÙ‡ Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠØ§ Ø¨Ø­Ø¬Ø© Ø­Ù‚ÙˆÙ‚ Ø§Ù„Ø¥Ù†Ø³Ø§Ù† ÙˆÙ†Ø³ÙˆØ§ ØªØ¹Ø°ÙŠØ¨ Ùˆ Ù‚ØªÙ„ Ø§Ù„Ø£Ø·ÙØ§Ù„ ÙˆØ§Ù„Ù†Ø³Ø§Ø¡  Ø§Ù„Ù…Ø³Ù„Ù…Ø§Øª ÙÙŠ ÙƒÙ„ Ù…ÙƒØ§Ù†  . #ØªØ§Ø±ÙŠØ®Ù†Ø§_Ø§Ù„Ø¹Ø¸ÙŠÙ… https://t.co/vSxBsXL1ge""",15,23,456,551,ar,2836548787,1.11431170170753E+018,mssmK900,https://twitter.com/mssmK900/status/1114311701707538432
Fri Apr 05 19:39:17 +0000 2019,1.11425118073624E+018,Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… ÙŠØ·Ø¨Ù‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆÙ‚Ø¯ Ø§Ø¹Ù„Ù† Ù…Ø¤Ø®Ø±Ø§ ØªØ·Ø¨ÙŠÙ‚Ù‡ Ø­Ø¯ Ø§Ù„Ø±Ø¬Ù…  Ø¹Ù„Ù‰ Ø§Ù„Ø±Ø¬Ø§Ù„ Ø§Ù„Ø´ÙˆØ§Ø°  ÙˆØ«Ø§Ø± Ø¹Ù„ÙŠÙ‡ Ø§Ù„ØºØ±Ø¨ ÙˆÙ‡Ø¯Ø¯ØªÙ‡ Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠØ§ Ø¨Ø­Ø¬Ø© Ø­Ù‚ÙˆÙ‚ Ø§Ù„Ø¥Ù†Ø³Ø§Ù† ÙˆÙ†Ø³ÙˆØ§ ØªØ¹Ø°ÙŠØ¨ Ùˆ Ù‚ØªÙ„ Ø§Ù„Ø£Ø·ÙØ§Ù„ ÙˆØ§Ù„Ù†Ø³Ø§Ø¡  Ø§Ù„Ù…Ø³Ù„Ù…Ø§Øª ÙÙŠ ÙƒÙ„ Ù…ÙƒØ§Ù†   Ø§Ù„Ù„Ù‡Ù… Ø§Ù†ØµØ± ÙƒÙ„ Ù…Ù† Ù†ØµØ± Ø¯ÙŠÙ†Ù‡.. https://t.co/oDGM4LM4RD,0,0,0,0,ar,425190912,1.11425118073624E+018,3zatAlislam,https://twitter.com/3zatAlislam/status/1114251180736241664
Thu Apr 04 12:00:44 +0000 2019,1.11377339363824E+018,. Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… ÙŠØ·Ø¨Ù‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆÙ‚Ø¯ Ø§Ø¹Ù„Ù† Ù…Ø¤Ø®Ø±Ø§ ØªØ·Ø¨ÙŠÙ‚Ù‡ Ø­Ø¯ Ø§Ù„Ø±Ø¬Ù…  Ø¹Ù„Ù‰ Ø§Ù„Ø±Ø¬Ø§Ù„ Ø§Ù„Ø´ÙˆØ§Ø°  ÙˆØ«Ø§Ø± Ø¹Ù„ÙŠÙ‡ Ø§Ù„ØºØ±Ø¨ ÙˆÙ‡Ø¯Ø¯ØªÙ‡ Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠØ§ Ø¨Ø­Ø¬Ø© Ø­Ù‚ÙˆÙ‚ Ø§Ù„Ø¥Ù†Ø³Ø§Ù† ÙˆÙ†Ø³ÙˆØ§ ØªØ¹Ø°ÙŠØ¨ Ùˆ Ù‚ØªÙ„ Ø§Ù„Ø£Ø·ÙØ§Ù„ ÙˆØ§Ù„Ù†Ø³Ø§Ø¡  Ø§Ù„Ù…Ø³Ù„Ù…Ø§Øª ÙÙŠ ÙƒÙ„ Ù…ÙƒØ§Ù†    Ø§Ù„Ù„Ù‡Ù… Ø§Ù†ØµØ± Ù…Ù† Ù†ØµØ± Ø¯ÙŠÙ†Ùƒ.. #Ø£Ø¹Ø¬Ø¨Ù†ÙŠ  .... https://t.co/XzTlhn6AgH,0,0,0,1,ar,2417699378,1.11377339363824E+018,adaikabelkacem,https://twitter.com/adaikabelkacem/status/1113773393638248450
Thu Apr 04 10:59:00 +0000 2019,1.11375785751266E+018,Ø¹Ù†Ø¯Ù…Ø§ Ù†ØªØ­Ø¯Ø« Ø¹Ù† Ø¯ÙˆÙ„ Ø§Ø²Ø¯Ù‡Ø±Øª Ø§Ù‚ØªØµØ§Ø¯ÙŠØ§ ÙˆØªØ¹Ø¯ ÙÙŠ Ø§Ù„Ù…Ø±ØªØ¨Ø© Ø§Ù„Ø«Ø§Ù†ÙŠØ© ÙÙŠ Ù…Ø¤Ø´Ø± Ø§Ù„ØªÙ†Ù…ÙŠØ© Ø§Ù„Ø¨Ø´Ø±ÙŠØ© ÙˆÙ‡Ø°Ø§ ÙƒÙ„Ù‡ Ù…Ø¹ Ù…Ø­Ø§ÙØ¸ØªÙ‡Ø§ Ø¹Ù„Ù‰ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø§Ø³Ù„Ø§Ù…ÙŠØ© ÙˆØªØ·Ø¨ÙŠÙ‚ Ø­Ø¯ÙˆØ¯Ù‡Ø§ ÙˆÙ…Ù†Ø¹Ù‡Ø§ Ù„Ù„Ø®Ù…Ø± ÙØ¥Ù†Ù†Ø§ Ù†ØªØ­Ø¯Ø« Ø¹Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù…,0,0,1,0,ar,8753292,1.11375785751266E+018,Saoud,https://twitter.com/Saoud/status/1113757857512665088
Wed Apr 30 03:49:23 +0000 2014,4.61351581468745E+017,Ø§Ù„Ø³Ù„Ø·Ø§Ù† Ø­Ø§Ø¬ÙŠ Ø­Ø³Ù† Ø§Ù„Ø¨Ù„Ù‚ÙŠÙ‡ ØŒ Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… ØŒ ÙŠØ¯Ø´Ù† Ø±Ø³Ù…ÙŠØ§Ù‹ Ø§Ù„ÙŠÙˆÙ… ØªØ·Ø¨ÙŠÙ‚ Ù‚Ø§Ù†ÙˆÙ† Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø§Ø³Ù„Ø§Ù…ÙŠØ© ÙÙŠ Ø¨Ø±ÙˆÙ†Ø§ÙŠ. http://t.co/P1aiGgclRX,0,3,27,23,ar,600298678,4.61351581468745E+017,AhmedbinHashil,https://twitter.com/AhmedbinHashil/status/461351581468745728
Tue Oct 29 07:45:08 +0000 2013,3.95093932105031E+017,"Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ - Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… "" ÙŠØ¹Ù„Ù† ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆØ®Ø§ØµØ© "" Ø§Ù„Ø­Ø¯ÙˆØ¯ "" ÙÙŠ ØºØ¶ÙˆÙ† Ø³ØªØ© Ø£Ø´Ù‡Ø± .  Ø£Ø¹Ù„Ù† Ø³Ù„Ø·Ø§Ù†... http://t.co/69AmdRdlPl""",0,0,0,0,ar,492394311,3.95093932105031E+017,Hazem_Sisters,https://twitter.com/Hazem_Sisters/status/395093932105031680
Tue Oct 22 15:08:50 +0000 2013,3.92668876770533E+017,"Ø¨Ù…Ø§ Ø£Ù† Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ - Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… "" ÙŠØ¹Ù„Ù† ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆØ®Ø§ØµØ© "" Ø§Ù„Ø­Ø¯ÙˆØ¯ "" ÙÙŠ ØºØ¶ÙˆÙ† Ø³ØªØ© Ø£Ø´Ù‡Ø± . Ø¨Ø±ØºÙ… Ø£Ù† Ù…Ø§ÙÙ‰... http://t.co/k6yNDSfNdp""",0,0,0,0,ar,149551071,3.92668876770533E+017,Same7al7add2d,https://twitter.com/Same7al7add2d/status/392668876770533376
Tue Oct 22 14:49:34 +0000 2013,3.92664027757039E+017,"Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ - Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… "" ÙŠØ¹Ù„Ù† ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆØ®Ø§ØµØ© "" Ø§Ù„Ø­Ø¯ÙˆØ¯ "" ÙÙŠ ØºØ¶ÙˆÙ† Ø³ØªØ© Ø£Ø´Ù‡Ø± .  Ø£Ø¹Ù„Ù† Ø³Ù„Ø·Ø§Ù†... http://t.co/BHW7gin4uh""",0,0,0,0,ar,1325614225,3.92664027757039E+017,Alaaahmed257,https://twitter.com/Alaaahmed257/status/392664027757039617
Tue Oct 22 14:38:57 +0000 2013,3.92661355263963E+017,"Ø³Ù„Ø·Ø§Ù† Ø¨Ø±ÙˆÙ†Ø§ÙŠ - Ø¯Ø§Ø± Ø§Ù„Ø³Ù„Ø§Ù… "" ÙŠØ¹Ù„Ù† ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ø´Ø±ÙŠØ¹Ø© Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠØ© ÙˆØ®Ø§ØµØ© "" Ø§Ù„Ø­Ø¯ÙˆØ¯ "" ÙÙŠ ØºØ¶ÙˆÙ† Ø³ØªØ© Ø£Ø´Ù‡Ø± . http://t.co/ZAK4AHTIeo""",0,0,0,0,ar,159531748,3.92661355263963E+017,ElMokhalesTV,https://twitter.com/ElMokhalesTV/status/392661355263963136
